team,players,fm_goalkeeper_rating,fm_defense_rating,fm_midfield_rating,fm_attack_rating,fm_depth_rating,fm_overall_rating,top_5_players
France,26,81.45,83.25,81.32,93.35,83.52,85.46,Kylian Mbappé (ST 98/99); Ousmane Dembélé (ST 93/94); Michael Olise (RW 88/93); William Saliba (CB 88/92); Désiré Doué (RW 88/90)
England,25,78.0,82.27,86.37,88.78,81.74,84.6,Harry Kane (ST 94/95); Bukayo Saka (RW 91/94); Declan Rice (CM 91/92); Jude Bellingham (AM 88/94); Reece James (RB 87/87)
Brazil,26,89.3,81.38,80.65,85.7,80.02,83.07,Alisson (GK 89/91); Vinicius Junior (LW 88/95); Raphinha (LW 88/89); Gabriel (CB 85/87); Bruno Guimarães (CM 84/85)
Spain,26,81.2,79.21,87.07,84.13,81.76,82.93,Rodri (DM 90/90); Pedri (CM 89/93); Lamine Yamal (RW 88/97); Nico Williams (LW 82/86); Dani Olmo (AM 81/85)
Portugal,26,80.45,81.29,86.78,79.4,80.16,81.88,Vitinha (DM 89/90); Bruno Fernandes (AM 88/88); Nuno Mendes (LB 84/90); Rúben Dias (CB 84/89); Bernardo Silva (AM 82/90)
Argentina,25,79.6,75.51,81.17,86.43,78.71,80.66,Lionel Messi (RW 86/100); Julián Alvarez (ST 85/90); Lautaro Martínez (ST 85/88); Enzo Fernández (CM 84/87); Alexis Mac Allister (CM 80/85)
Germany,26,76.6,78.84,86.77,79.0,79.27,80.61,Joshua Kimmich (DM 89/92); Florian Wirtz (AM 85/94); Jamal Musiala (AM 83/93); Kai Havertz (ST 79/90); Nico Schlotterbeck (CB 80/83)
Netherlands,26,74.5,81.92,81.18,75.75,77.44,78.82,Virgil van Dijk (CB 90/93); Frenkie de Jong (CM 83/90); Ryan Gravenberch (DM 79/85); Tijjani Reijnders (CM 79/83); Micky van de Ven (CB 78/88)
Belgium,26,91.0,71.22,81.47,80.65,75.94,78.77,Thibaut Courtois (GK 91/91); Kevin De Bruyne (AM 86/95); Jérémy Doku (LW 83/88); Youri Tielemans (CM 80/83); Romelu Lukaku (ST 79/85)
Norway,26,67.05,69.99,78.22,80.33,72.64,74.83,Erling Haaland (ST 92/98); Martin Ødegaard (AM 88/90); Alexander Sørloth (ST 75/76); Fredrik Aursnes (CM 74/74); Julian Ryerson (RB 73/74)
Croatia,26,69.2,74.2,78.62,72.4,72.62,74.1,Luka Modrić (CM 83/90); Josko Gvardiol (CB 80/90); Mateo Kovacic (CM 76/86); Josip Stanisic (RB 74/78); Mario Pašalić (CM 74/76)
Morocco,26,75.45,76.16,72.48,73.08,71.78,73.91,Achraf Hakimi (RB 88/90); Yassine Bounou (GK 75/78); Noussair Mazraoui (RB 75/78); Brahim Díaz (RW 74/81); Ismael Saibari (AM 74/76)
Switzerland,26,81.3,70.88,75.87,71.88,71.51,73.46,Gregor Kobel (GK 81/83); Granit Xhaka (DM 80/80); Manuel Akanji (CB 78/79); Denis Zakaria (DM 74/75); Remo Freuler (CM 73/76)
Uruguay,26,69.8,74.42,78.55,68.77,71.51,73.08,Federico Valverde (CM 88/88); José María Giménez (CB 74/83); Darwin Núñez (ST 73/83); Ronald Araujo (CB 74/77); Maxi Araújo (LB 74/77)
Türkiye,26,69.05,70.6,76.38,74.75,71.22,73.06,Hakan Çalhanoğlu (DM 81/82); Kenan Yıldız (LW 79/90); Arda Güler (AM 72/87); Orkun Kökçü (CM 73/78); Ferdi Kadıoğlu (LB 73/77)
Colombia,26,66.45,73.33,70.17,77.63,71.41,72.9,Luis Díaz (LW 84/85); Luis Suárez (ST 77/79); Davinson Sánchez (CB 75/75); Jhon Lucumí (CB 74/75); Daniel Muñoz (RB 74/74)
Sweden,26,65.45,72.24,70.98,77.8,70.44,72.64,Alexander Isak (ST 85/90); Viktor Gyökeres (ST 77/84); Isak Hien (CB 73/77); Lucas Bergvall (CM 70/91); Victor Lindelöf (CB 72/75)
Senegal,26,74.5,71.03,72.3,74.15,70.66,72.52,Kalidou Koulibaly (CB 75/85); Sadio Mané (LW 73/93); Edouard Mendy (GK 73/83); Nicolas Jackson (ST 73/81); Pape Gueye (CM 74/75)
United States,26,64.6,70.88,75.68,74.6,70.49,72.41,Christian Pulisic (RW 80/82); Weston McKennie (CM 77/78); Tyler Adams (DM 76/76); Antonee Robinson (LB 75/75); Malik Tillman (AM 73/79)
Ivory Coast,26,64.05,74.11,68.6,75.02,70.62,71.69,Evan Ndicka (CB 77/79); Amad Diallo (RW 75/83); Ousmane Diomande (CB 74/85); Yan Diomande (LW 74/85); Franck Kessié (CM 73/83)
Japan,26,69.2,68.99,71.88,74.07,70.11,71.24,Takefusa Kubo (RW 77/83); Wataru Endo (DM 74/76); Ritsu Doan (RW 74/76); Takehiro Tomiyasu (RB 72/75); Daichi Kamada (AM 70/75)
Austria,25,64.6,74.46,73.65,68.1,70.54,71.11,Konrad Laimer (RB 77/78); David Alaba (CB 74/87); Xaver Schlager (CM 75/76); Marcel Sabitzer (CM 73/78); Kevin Danso (CB 73/75)
Scotland,26,61.5,71.36,76.68,68.43,68.57,70.55,Scott McTominay (CM 83/85); Andrew Robertson (LB 76/83); John McGinn (CM 74/78); Aaron Hickey (RB 71/83); Ryan Christie (CM 72/73)
Czechia,26,69.2,69.16,67.85,73.48,68.28,69.97,Patrik Schick (ST 77/80); Ladislav Krejčí (CB 71/78); Lukas Provod (LW 72/72); Tomas Chory (ST 71/71); Vladimír Coufal (RB 70/70)
Mexico,26,66.75,68.6,69.98,72.3,68.87,69.81,Julián Quiñones (ST 73/73); Alexis Vega (LW 72/74); Álvaro Fidalgo (CM 72/73); Santiago Gimenez (ST 71/75); Roberto Alvarado (RW 70/73)
Algeria,26,63.6,68.29,69.85,73.23,68.17,69.57,Riyad Mahrez (RW 73/83); Mohamed Amoura (ST 73/77); Ramy Bensebaini (CB 73/74); Rayan Aït-Nouri (LB 71/77); Amine Gouiri (ST 71/75)
Ecuador,26,65.0,74.07,71.27,63.3,66.93,68.76,Moisés Caicedo (DM 84/93); Willian Pacho (CB 81/86); Piero Hincapié (CB 76/84); Pervis Estupiñán (LB 71/75); Gonzalo Plata (RW 66/73)
Egypt,26,61.2,62.9,65.83,80.32,65.97,68.62,Mohamed Salah (RW 91/94); Omar Marmoush (ST 82/84); Emam Ashour (CM 68/73); Mohamed Abdelmonem (CB 66/78); Zizo (RW 66/74)
South Korea,26,65.0,66.99,72.63,68.67,66.79,68.59,Kang-in Lee (AM 78/81); Min-jae Kim (CB 77/83); Heung-min Son (LW 76/87); In-beom Hwang (DM 72/72); Jae-sung Lee (AM 67/70)
Ghana,27,61.45,65.9,67.3,74.72,66.64,68.33,Antoine Semenyo (RW 79/81); Iñaki Williams (RW 76/81); Thomas Partey (DM 71/81); Abdul Mumin (CB 67/75); Abdul Fatawu (RW 66/80)
Canada,26,62.45,69.64,65.03,72.68,66.16,68.32,Alphonso Davies (LB 79/85); Jonathan David (ST 76/77); Tani Oluwaseyi (ST 71/74); Tajon Buchanan (RW 70/73); Moïse Bombito (CB 67/71)
Paraguay,26,63.0,68.47,69.53,67.47,66.31,67.68,Omar Alderete (CB 75/75); Julio Enciso (AM 70/81); Diego Gómez (CM 69/78); Gustavo Gómez (CB 70/72); Miguel Almirón (RW 68/79)
Bosnia and Herzegovina,26,68.15,68.79,60.77,70.28,64.83,66.82,Sead Kolasinac (CB 73/75); Ermedin Demirovic (ST 71/73); Edin Dzeko (ST 69/84); Amar Dedić (RB 70/76); Haris Tabakovic (ST 68/70)
DR Congo,26,59.05,66.2,67.73,69.02,64.81,66.5,Yoane Wissa (ST 72/73); Noah Sadiki (CM 70/80); Aaron Wan-Bissaka (RB 69/75); Ngal'ayel Mukau (DM 66/82); Simon Banza (ST 68/70)
Tunisia,26,60.75,61.79,67.85,64.85,62.04,64.02,Ellyes Skhiri (DM 69/73); Rani Khedira (DM 69/70); Montassar Talbi (CB 66/72); Elias Achouri (LW 66/70); Hannibal (AM 63/75)
South Africa,26,70.45,62.36,64.23,62.95,61.67,63.71,Ronwen Williams (GK 70/73); Teboho Mokoena (DM 66/75); Themba Zwane (AM 66/70); Khuliso Mudau (RB 64/70); Iqraam Rayners (ST 64/68)
Australia,26,66.9,64.65,63.18,61.02,61.5,63.19,Alessandro Circati (CB 66/74); Mathew Ryan (GK 66/72); Jordan Bos (LB 65/70); Cameron Burgess (CB 64/65); Jackson Irvine (CM 64/65)
Saudi Arabia,26,58.3,63.2,62.35,63.17,60.79,62.26,Salem Al-Dawsari (LW 70/73); Saud Abdulhamid (RB 65/70); Musab Al-Juwayr (CM 63/70); Hassan Tambakti (CB 63/65); Ali Majrashi (RB 63/63)
Cape Verde,26,57.15,65.42,60.22,61.77,60.65,61.85,Logan Costa (CB 72/76); Sidny Lopes Cabral (LB 65/69); Wagner Pina (RB 63/68); Kevin Lenini (DM 63/65); Jovane Cabral (LW 62/68)
Iran,26,63.3,58.85,59.83,65.17,60.59,61.47,Mehdi Taremi (ST 68/78); Alireza Beiranvand (GK 63/65); Mehdi Ghayedi (LW 63/63); Amirhossein Hosseinzadeh (ST 63/63); Alireza Jahanbakhsh (RW 60/70)
Uzbekistan,26,59.2,62.71,59.18,63.47,59.83,61.44,Abdukodir Khusanov (CB 75/87); Eldor Shomurodov (ST 65/68); Abbosbek Fayzullaev (RW 63/73); Khozhiakbar Alizhonov (RB 61/66); Igor Sergeev (ST 60/63)
Panama,26,63.0,62.57,58.83,62.3,60.28,61.41,Amir Murillo (RB 67/70); Adalberto Carrasquilla (CM 63/66); Ismael Díaz (LW 63/64); Luis Mejía (GK 63/63); Andrés Andrade (CB 62/66)
Haiti,26,56.9,62.39,57.43,62.55,58.96,60.35,Jean-Ricner Bellegarde (CM 66/71); Wilson Isidor (ST 66/69); Ricardo Adé (CB 64/65); Josué Casimir (RW 62/68); Hannes Delcroix (CB 62/67)
Qatar,26,58.3,58.58,57.47,64.98,57.74,59.99,Akram Afif (LW 70/70); Almoez Ali (ST 63/68); Lucas Mendes (CB 60/70); Edmílson Junior (LW 60/68); Boualem Khoukhi (CB 60/63)
Curaçao,26,55.8,61.86,59.38,60.43,58.44,59.92,Armando Obispo (CB 63/67); Riechedly Bazoer (CB 63/66); Shurandy Sambo (RB 61/66); Sontje Hansen (RW 60/68); Jürgen Locadia (ST 59/69)
Iraq,26,55.0,58.59,61.33,61.57,58.55,59.72,Hussein Ali (RB 61/75); Ali Jasim (LW 61/75); Mohanad Ali (ST 61/75); Kevin Yakob (CM 62/68); Merchas Doski (LB 61/63)
New Zealand,26,58.3,59.81,60.65,59.68,58.21,59.66,Chris Wood (ST 68/69); Tyler Bindon (CB 62/75); Liberato Cacace (LB 62/67); Joe Bell (DM 62/65); Marko Stamenić (CM 59/68)
Jordan,26,53.3,55.2,49.23,56.75,52.34,53.73,Mousa Tamari (RW 65/68); Yazan Al-Arab (CB 63/63); Yazeed Abulaila (GK 53/55); Abdallah Nasib (CB 53/55); Ehsan Haddad (RB 53/55)
